date,MKTX
2016-12-12,168.22
2016-12-13,168.99
2016-12-14,164.51
2016-12-15,167.17
2016-12-16,162.39
2016-12-19,160.64
2016-12-20,157.06
2016-12-21,153.68
2016-12-22,150.2
2016-12-23,149.43
2016-12-27,149.48
2016-12-28,148.43
2016-12-29,145.53
2016-12-30,146.91
2017-01-03,150.17
2017-01-04,152.93
2017-01-05,152.71
2017-01-06,157.15
2017-01-09,156.79
2017-01-10,156.06
2017-01-11,156.97
2017-01-12,156.36
2017-01-13,156.85
2017-01-17,155.46
2017-01-18,156.5
2017-01-19,155.23
2017-01-20,156.89
2017-01-23,155.35
2017-01-24,158.42
2017-01-25,175.99
2017-01-26,180.42
2017-01-27,179.88
2017-01-30,181.35
2017-01-31,187.25
2017-02-01,188.13
2017-02-02,188.04
2017-02-03,191.28
2017-02-06,190.27
2017-02-07,189.34
2017-02-08,187.47
2017-02-09,188.34
2017-02-10,186.71
2017-02-13,189.8
2017-02-14,190.06
2017-02-15,191.63
2017-02-16,191.69
2017-02-17,193.08
2017-02-21,192.695
2017-02-22,195.02
2017-02-23,194.99
2017-02-24,196.2
2017-02-27,195.08
2017-02-28,195.23
2017-03-01,197.62
2017-03-02,192.06
2017-03-03,193.85
2017-03-06,193.0
2017-03-07,192.5
2017-03-08,190.97
2017-03-09,192.05
2017-03-10,191.47
2017-03-13,191.6
2017-03-14,191.2
2017-03-15,191.08
2017-03-16,190.79
2017-03-17,189.99
2017-03-20,189.67
2017-03-21,184.43
2017-03-22,188.02
2017-03-23,187.0
2017-03-24,187.65
2017-03-27,185.08
2017-03-28,185.89
2017-03-29,185.23
2017-03-30,185.93
2017-03-31,187.5
2017-04-03,187.15
2017-04-04,185.86
2017-04-05,180.26
2017-04-06,181.55
2017-04-07,182.74
2017-04-10,183.27
2017-04-11,183.0
2017-04-12,180.82
2017-04-13,178.06
2017-04-17,182.69
2017-04-18,183.06
2017-04-19,182.98
2017-04-20,185.3
2017-04-21,184.45
2017-04-24,185.61
2017-04-25,184.68
2017-04-26,194.51
2017-04-27,195.86
2017-04-28,192.53
2017-05-01,192.05
2017-05-02,189.36
2017-05-03,186.86
2017-05-04,186.51
2017-05-05,187.8
2017-05-08,186.01
2017-05-09,186.565
2017-05-10,188.16
2017-05-11,188.34
2017-05-12,186.43
2017-05-15,188.31
2017-05-16,184.72
2017-05-17,182.3
2017-05-18,181.93
2017-05-19,186.42
2017-05-22,185.4
2017-05-23,187.985
2017-05-24,191.7
2017-05-25,195.63
2017-05-26,194.27
2017-05-30,191.22
2017-05-31,190.59
2017-06-01,191.98
2017-06-02,191.59
2017-06-05,190.4
2017-06-06,188.01
2017-06-07,194.65
2017-06-08,199.33
2017-06-09,202.02
2017-06-12,204.41
2017-06-13,206.14
2017-06-14,206.92
2017-06-15,207.37
2017-06-16,205.71
2017-06-19,207.9
2017-06-20,207.38
2017-06-21,202.32
2017-06-22,201.59
2017-06-23,201.31
2017-06-26,200.93
2017-06-27,197.65
2017-06-28,201.78
2017-06-29,203.53
2017-06-30,201.35
2017-07-03,203.54
2017-07-05,205.77
2017-07-06,193.28
2017-07-07,194.07
2017-07-10,195.05
2017-07-11,193.37
2017-07-12,193.74
2017-07-13,194.08
2017-07-14,190.41
2017-07-17,190.51
2017-07-18,192.79
2017-07-19,194.69
2017-07-20,194.61
2017-07-21,195.03
2017-07-24,196.79
2017-07-25,199.59
2017-07-26,205.0
2017-07-27,205.42
2017-07-28,207.85
2017-07-31,202.94
2017-08-01,204.06
2017-08-02,205.49
2017-08-03,205.01
2017-08-04,205.97
2017-08-07,201.81
2017-08-08,197.48
2017-08-09,199.05
2017-08-10,195.46
2017-08-11,192.5
2017-08-14,193.16
2017-08-15,192.48
2017-08-16,192.78
2017-08-17,192.0
2017-08-18,188.87
2017-08-21,191.58
2017-08-22,193.15
2017-08-23,194.19
2017-08-24,190.61
2017-08-25,190.47
2017-08-28,190.0
2017-08-29,188.95
2017-08-30,191.41
2017-08-31,192.99
2017-09-01,188.81
2017-09-05,187.43
2017-09-06,176.53
2017-09-07,176.2
2017-09-08,178.29
2017-09-11,179.86
2017-09-12,180.08
2017-09-13,180.77
2017-09-14,181.21
2017-09-15,179.26
2017-09-18,180.45
2017-09-19,179.98
2017-09-20,181.33
2017-09-21,179.55
2017-09-22,182.5
2017-09-25,178.52
2017-09-26,176.19
2017-09-27,178.77
2017-09-28,182.95
2017-09-29,184.5
2017-10-02,185.84
2017-10-03,185.11
2017-10-04,184.03
2017-10-05,186.67
2017-10-06,187.47
2017-10-09,189.405
2017-10-10,187.67
2017-10-11,191.76
2017-10-12,190.11
2017-10-13,191.32
2017-10-16,192.385
2017-10-17,191.46
2017-10-18,193.38
2017-10-19,188.75
2017-10-20,190.23
2017-10-23,191.13
2017-10-24,189.8
2017-10-25,179.69
2017-10-26,179.43
2017-10-27,175.58
2017-10-30,173.05
2017-10-31,174.0
2017-11-01,175.66
2017-11-02,176.54
2017-11-03,177.0
2017-11-06,179.8
2017-11-07,177.985
2017-11-08,178.74
2017-11-09,174.5
2017-11-10,173.51
2017-11-13,174.5
2017-11-14,173.95
2017-11-15,177.81
2017-11-16,176.17
2017-11-17,180.37
2017-11-20,183.29
2017-11-21,188.45
2017-11-22,188.08
2017-11-24,188.33
2017-11-27,188.52
2017-11-28,193.53
2017-11-29,195.9
2017-11-30,195.17
2017-12-01,195.29
2017-12-04,197.18
2017-12-05,196.14
2017-12-06,197.04
2017-12-07,195.71
2017-12-08,196.0
2017-12-11,196.75
2017-12-12,197.13
2017-12-13,196.35
2017-12-14,195.19
2017-12-15,193.85
2017-12-18,199.36
2017-12-19,202.2
2017-12-20,202.94
2017-12-21,201.73
2017-12-22,201.81
2017-12-26,201.0
2017-12-27,201.0
2017-12-28,201.82
2017-12-29,201.74
2018-01-02,203.73
2018-01-03,200.79
2018-01-04,206.555
2018-01-05,207.37
2018-01-08,207.41
2018-01-09,204.38
2018-01-10,206.37
2018-01-11,201.58
2018-01-12,203.64
2018-01-16,206.49
2018-01-17,207.37
2018-01-18,207.95
2018-01-19,208.39
2018-01-22,201.23
2018-01-23,195.94
2018-01-24,195.62
2018-01-25,193.57
2018-01-26,193.49
2018-01-29,190.66
2018-01-30,192.0
2018-01-31,196.09
2018-02-01,195.65
2018-02-02,196.35
2018-02-05,197.17
2018-02-06,195.05
2018-02-07,195.01
2018-02-08,188.92
2018-02-09,189.14
2018-02-12,191.45
2018-02-13,193.28
2018-02-14,197.54
2018-02-15,198.94
2018-02-16,201.44
2018-02-20,200.15
2018-02-21,202.095
2018-02-22,199.42
2018-02-23,197.72
2018-02-26,199.57
2018-02-27,201.02
2018-02-28,202.4
2018-03-01,205.85
2018-03-02,202.84
2018-03-05,209.17
2018-03-06,211.39
2018-03-07,212.57
2018-03-08,216.67
2018-03-09,218.88
2018-03-12,223.27
2018-03-13,224.03
2018-03-14,223.69
2018-03-15,224.1
2018-03-16,224.61
2018-03-19,222.75
2018-03-20,224.26
2018-03-21,223.58
2018-03-22,221.17
2018-03-23,219.54
2018-03-26,221.68
2018-03-27,217.13
2018-03-28,212.98
2018-03-29,217.44
2018-04-02,212.26
2018-04-03,213.41
2018-04-04,212.23
2018-04-05,208.43
2018-04-06,206.72
2018-04-09,207.88
2018-04-10,206.321
2018-04-11,205.69
2018-04-12,203.48
2018-04-13,202.14
2018-04-16,204.39
